         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      944    0.005    0.000    0.006    0.000 converters.py:29(__init__)
       66    0.000    0.000    0.006    0.000 baseplatform.py:373(__nonzero__)
     2234    0.005    0.000    0.006    0.000 sre_parse.py:184(__next)
       23    0.002    0.000    0.006    0.000 baseplatform.py:400(__call__)
       34    0.001    0.000    0.006    0.000 pkg_resources.py:1869(find_on_path)
     1913    0.001    0.000    0.006    0.000 sre_parse.py:209(get)
        2    0.001    0.000    0.005    0.003 __init__.py:5(<module>)
        1    0.003    0.003    0.005    0.005 pickle.py:24(<module>)
        1    0.005    0.005    0.005    0.005 linalg.py:10(<module>)
     2773    0.005    0.000    0.005    0.000 numpymodule.py:101(arrayByteCount)
        1    0.001    0.001    0.005    0.005 header.py:5(<module>)
      157    0.004    0.000    0.005    0.000 extensions.py:248(alternate)
      250    0.001    0.000    0.005    0.000 __init__.py:116(WINFUNCTYPE)
        1    0.001    0.001    0.005    0.005 _internal.py:6(<module>)
        1    0.001    0.001    0.005    0.005 imaging.py:9(<module>)
        1    0.004    0.004    0.005    0.005 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:418(_build_master)
        1    0.003    0.003    0.005    0.005 ctypesloader.py:5(<module>)
        1    0.000    0.000    0.005    0.005 pkg_resources.py:405(__init__)
        1    0.001    0.001    0.004    0.004 GL_1_3.py:1(<module>)
        2    0.001    0.001    0.004    0.002 vboimplementation.py:1(<module>)
      843    0.002    0.000    0.004    0.000 wrapper.py:84(__init__)
        1    0.000    0.000    0.004    0.004 GL_4_1.py:1(<module>)
        2    0.000    0.000    0.004    0.002 GL_2_0.py:254(glGetShaderiv)
        1    0.001    0.001    0.004    0.004 vertex_type_2_10_10_10_rev.py:21(<module>)
        1    0.003    0.003    0.004    0.004 vertex_attrib_binding.py:47(<module>)
        1    0.001    0.001    0.004    0.004 GL_4_3.py:1(<module>)
        1    0.001    0.001    0.004    0.004 sync.py:31(<module>)
        1    0.001    0.001    0.004    0.004 zipfile.py:5(<module>)
        1    0.000    0.000    0.004    0.004 hermite_e.py:59(<module>)
     2119    0.002    0.000    0.004    0.000 wrapper.py:89(__getattr__)
     1424    0.002    0.000    0.004    0.000 __init__.py:39(add_types)
        1    0.000    0.000    0.004    0.004 shaders.py:154(compileProgram)
        1    0.001    0.001    0.004    0.004 __init__.py:9(<module>)
      900    0.001    0.000    0.004    0.000 main.py:55(<lambda>)
        1    0.003    0.003    0.004    0.004 socket.py:44(<module>)
        1    0.000    0.000    0.004    0.004 pointers.py:18(<module>)
